id,quote,value,time
0,EURJPY,129.7405,09:40:41
0,BTCEUR,"35,057.75",09:40:52
0,USDCAD,1.2871,09:40:56
0,USDCHF,0.9382,09:41:00
0,USDAUD,1.3915,09:41:03
0,USDJPY,117.9490,09:41:07
0,BTCUSD,"38,557.20",09:41:10
0,INXINDEXSP,"4,173.11",09:41:13
0,DJIINDEXDJX,"32,945.24",09:41:17
0,GBPUSD,1.3033,09:41:21
0,GBPEUR,1.1849,09:41:25
0,GBPCAD,1.6774,09:41:28
0,GBPAUD,1.8139,09:41:32
0,GBPCHF,1.2231,09:41:35
0,BTCGBP,"29,575.11",09:41:39
0,EURUSD,1.1000,09:41:42
0,EURJPY,129.7380,09:41:45
0,EURCHF,1.0322,09:41:49
0,EURAUD,1.5306,09:41:53
0,BTCEUR,"35,053.51",09:41:57
0,USDCAD,1.2867,09:42:00
0,USDCHF,0.9384,09:42:04
0,USDAUD,1.3915,09:42:07
0,USDJPY,117.9490,09:42:11
0,BTCUSD,"38,557.20",09:42:14
0,INXINDEXSP,"4,173.11",09:42:18
0,DJIINDEXDJX,"32,945.24",09:42:21
0,GBPUSD,1.3039,09:42:25
0,GBPEUR,1.1854,09:42:28
0,GBPCAD,1.6777,09:42:32
0,GBPAUD,1.8144,09:42:35
0,GBPCHF,1.2236,09:42:39
0,BTCGBP,"29,575.11",09:42:42
0,EURUSD,1.1000,09:42:46
0,EURJPY,129.7825,09:42:49
0,EURCHF,1.0324,09:42:53
0,EURAUD,1.5304,09:42:58
0,BTCEUR,"35,053.51",09:43:01
0,USDCAD,1.2867,09:43:04
0,USDCHF,0.9384,09:43:07
0,USDAUD,1.3914,09:43:10
0,USDJPY,117.9770,09:43:14
0,BTCUSD,"38,557.20",09:43:17
0,INXINDEXSP,"4,173.11",09:43:21
0,DJIINDEXDJX,"32,945.24",09:43:24
0,GBPUSD,1.3039,09:43:28
0,GBPEUR,1.1853,09:43:32
0,GBPCAD,1.6777,09:43:35
0,GBPAUD,1.8144,09:43:39
0,GBPCHF,1.2236,09:43:42
0,BTCGBP,"29,567.40",09:43:46
